id,value
id_0,27.4144183912
id_1,61.5557611745
id_2,20.498043087
id_3,29.5344502691
id_4,10.7976641813
id_5,36.2072107992
id_6,39.7163958614
id_7,16.5717554925
id_8,48.2362750491
id_9,33.983795777
id_10,39.2539695802
id_11,58.4831979094
id_12,37.2335458568
id_13,41.6691375642
id_14,27.5524554983
id_15,13.1889395198
id_16,52.3002934349
id_17,23.6332773683
id_18,19.7662156016
id_19,20.5135214334
id_20,15.6626946653
id_21,28.4927679628
id_22,38.0347637278
id_23,11.0807460842
id_24,58.2425686317
id_25,44.5316473428
id_26,28.8767301505
id_27,9.80659013636
id_28,29.6997338462
id_29,36.3509061832
id_30,19.4342885128
id_31,12.7148551718
id_32,17.0117736646
id_33,8.62669518858
id_34,18.8222245549
id_35,38.6645542033
id_36,20.0840252056
id_37,28.3928020325
id_38,6.94419878836
id_39,59.6890630279
id_40,46.6332439264
id_41,17.2859117715
id_42,49.7085455908
id_43,18.9855885055
id_44,44.1594169624
id_45,51.1989930095
id_46,61.6464215738
id_47,40.2958855049
id_48,51.0402740267
id_49,42.0815299341
id_50,30.7565437483
id_51,25.4372373356
id_52,41.0779857685
id_53,26.3630010674
id_54,38.2427833093
id_55,39.9004537418
id_56,25.7002044527
id_57,22.4955411885
id_58,37.4550760512
id_59,31.5016686586
id_60,15.9934020163
id_61,23.1349376889
id_62,31.7229315337
id_63,55.052298076
id_64,49.7983278491
id_65,27.1691544798
id_66,41.8038628481
id_67,53.976947557
id_68,28.6028807123
id_69,39.5870539765
id_70,64.4100383959
id_71,53.2138183663
id_72,44.5985231968
id_73,11.8168814559
id_74,13.2896020027
id_75,37.136424024
id_76,60.8470249688
id_77,3.76704705639
id_78,45.3795808916
id_79,41.111232621
id_80,8.83597174667
id_81,22.6805475762
id_82,8.15939582277
id_83,34.0300908811
id_84,11.6753700085
id_85,5.75954794007
id_86,16.8761433375
id_87,12.0344072193
id_88,13.3610729172
id_89,28.1453211457
id_90,30.6271274621
id_91,11.835048459
id_92,14.1320824283
id_93,8.39467958365
id_94,36.4178159907
id_95,16.1788167512
id_96,16.2858494268
id_97,9.21372967193
id_98,11.6713839078
id_99,4.63455665736
id_100,13.6086568719
id_101,18.4800126478
id_102,11.8211350347
id_103,6.07741888933
id_104,14.7717592225
id_105,37.0993514222
id_106,27.4200722416
id_107,8.53079560926
id_108,16.8356041248
id_109,17.0098748396
id_110,14.6874251874
id_111,18.1258862059
id_112,13.8820834465
id_113,28.5842115968
id_114,23.142684003
id_115,15.5207919187
id_116,10.0834734689
id_117,44.5644564405
id_118,30.3599103165
id_119,2.10279380367
id_120,2.92782566451
id_121,11.872276346
id_122,16.3928875035
id_123,15.9708682476
id_124,7.16371242822
id_125,27.2938096472
id_126,22.3401798165
id_127,13.7325033059
id_128,20.5083776683
id_129,18.0956950461
id_130,4.66560802081
id_131,36.4118964361
id_132,14.8660603406
id_133,27.4657570579
id_134,24.3002551397
id_135,21.9753473648
id_136,10.8245863259
id_137,20.3338410207
id_138,77.233239211
id_139,63.5937467668
id_140,28.0905161586
id_141,18.1520194567
id_142,25.7171976993
id_143,8.8580344366
id_144,12.3117679749
id_145,10.7498346501
id_146,22.2882666964
id_147,8.2171825503
id_148,14.1361892791
id_149,17.6037266157
id_150,51.4302498472
id_151,21.6773738449
id_152,24.6350114924
id_153,16.280796931
id_154,14.9200590569
id_155,27.5882444502
id_156,21.8975405754
id_157,34.4557985864
id_158,3.85930509786
id_159,20.4288260753
id_160,44.0580214349
id_161,19.4991338623
id_162,55.6294203786
id_163,20.1244713037
id_164,37.6435479863
id_165,25.4867219035
id_166,21.8049676193
id_167,2.10677392997
id_168,66.6723038006
id_169,18.2052332816
id_170,18.4013640484
id_171,68.6354210579
id_172,21.5288691689
id_173,3.35410979515
id_174,23.9171015655
id_175,3.19328920455
id_176,7.33623629822
id_177,19.8023384249
id_178,21.028047478
id_179,21.3016876183
id_180,43.1003872487
id_181,27.7268016324
id_182,29.3450435685
id_183,12.9268460063
id_184,9.49477990571
id_185,41.7917462135
id_186,37.5667244833
id_187,33.4651575987
id_188,16.6118870099
id_189,22.2747744375
id_190,15.6460917155
id_191,15.43459303
id_192,33.5095779754
id_193,78.2941955668
id_194,29.6972293458
id_195,12.3899415725
id_196,61.0289226518
id_197,16.3039452131
id_198,19.9008654778
id_199,24.0539320512
id_200,124.914473637
id_201,27.2668640698
id_202,58.6642424878
id_203,5.93114454939
id_204,62.3253888956
id_205,36.0841184138
id_206,18.2073172575
id_207,15.241257287
id_208,63.8125465712
id_209,14.7744025017
id_210,30.3832101504
id_211,71.9105360761
id_212,20.9017124841
id_213,117.494933064
id_214,40.127493847
id_215,82.3047054948
id_216,92.801863368
id_217,70.5203074931
id_218,29.614207956
id_219,20.0947660704
id_220,31.5025871256
id_221,54.6226440966
id_222,29.1627533785
id_223,40.0427021413
id_224,44.6644465126
id_225,9.00641880477
id_226,4.90636508877
id_227,69.5682633661
id_228,28.6210921958
id_229,2.39879236887
id_230,39.5086903255
id_231,15.6386381723
id_232,22.3107273534
id_233,9.31797906883
id_234,12.255467411
id_235,22.4436265185
id_236,13.2859703816
id_237,0.70000332453
id_238,22.2009788519
id_239,1.88901579867
